# t_us_pico,raw,volt
3144032,32647,1.6439
3148030,31719,1.5972
3152034,30535,1.5376
3156032,30807,1.5513
3160036,32359,1.6294
3164030,33080,1.6657
3168030,32311,1.6270
3172035,30903,1.5561
3176034,31079,1.5650
3180031,32776,1.6504
3184032,33464,1.6851
3188034,32551,1.6391
3192031,31367,1.5795
3196031,31479,1.5851
3200036,33272,1.6754
3204033,33800,1.7020
3208031,32872,1.6553
3212039,31863,1.6045
3216036,32215,1.6222
3220036,33880,1.7060
3224036,34744,1.7495
3228031,33976,1.7109
3232033,32840,1.6537
3236035,33080,1.6657
3240031,34664,1.7455
3244034,35400,1.7826
3248030,34648,1.7447
3252032,33400,1.6818
3256031,33496,1.6867
3260033,35192,1.7721
3264034,35656,1.7954
3268036,34712,1.7479
3272032,33320,1.6778
3276030,33112,1.6673
3280034,34392,1.7318
3284037,34776,1.7511
3288035,33544,1.6891
3292037,31863,1.6045
3296038,32039,1.6133
3300034,33336,1.6786
3304036,33640,1.6939
3308030,32423,1.6327
3312037,31159,1.5690
3316034,31015,1.5618
3320036,32679,1.6455
3324030,33112,1.6673
3328036,32007,1.6117
3332034,30775,1.5497
3336036,30759,1.5489
3340032,32471,1.6351
3344030,33080,1.6657
3348033,32007,1.6117
3352032,30919,1.5569
3356037,31159,1.5690
3360032,32311,1.6270
3364030,33032,1.6633
3368035,32055,1.6141
3372034,31271,1.5746
3376037,31191,1.5706
3380037,32776,1.6504
3384033,33240,1.6738
3388031,32135,1.6182
3392037,30887,1.5553
3396034,31047,1.5634
3400036,32551,1.6391
3404030,33320,1.6778
3408029,32615,1.6423
3412036,31447,1.5835
3416028,31255,1.5738
3420034,32792,1.6512
3424035,33432,1.6835
3428033,32391,1.6310
3432032,31191,1.5706
3436036,31895,1.6061
3440035,33464,1.6851
3444036,33928,1.7084
3448031,33112,1.6673
3452036,31991,1.6109
3456032,32423,1.6327
3460034,34216,1.7229
3464032,35112,1.7681
3468035,34504,1.7374
3472030,34472,1.7358
3476030,36424,1.8341
3480035,39961,2.0122
3484036,43418,2.1863
3488036,45595,2.2959
3492036,48155,2.4248
3496033,50860,2.5610
3500032,54669,2.7528
3504032,56333,2.8366
3508038,55501,2.7947
3512031,53933,2.7158
3516033,54189,2.7287
3520038,56685,2.8544
3524036,58078,2.9245
3528029,57790,2.9100
3532035,55277,2.7835
3536031,53725,2.7053
3540033,53148,2.6763
3544033,52268,2.6319
3548033,48699,2.4522
3552032,45002,2.2661
3556033,43018,2.1662
3560030,42330,2.1315
3564031,39241,1.9760
3568033,34328,1.7286
3572030,29383,1.4796
3576037,26582,1.3385
3580033,25446,1.2813
3584032,24533,1.2354
3588032,22997,1.1580
3592034,21573,1.0863
3596031,21973,1.1064
3600031,23397,1.1782
3604035,23909,1.2039
3608031,22613,1.1387
3612038,21509,1.0831
3616033,21333,1.0742
3620031,22869,1.1516
3624038,23477,1.1822
3628034,22245,1.1201
3632032,20933,1.0541
3636030,21045,1.0597
3640032,22469,1.1314
3644031,22965,1.1564
3648035,21829,1.0992
3652032,20645,1.0396
3656031,20725,1.0436
3660035,22597,1.1379
3664034,22757,1.1459
3668034,21557,1.0855
3672033,20196,1.0170
3676031,20340,1.0242
3680031,21717,1.0936
3684030,22165,1.1161
3688038,20885,1.0517
3692029,19636,0.9888
3696034,20244,1.0194
3700037,22021,1.1089
3704030,22741,1.1451
3708031,21413,1.0782
3712030,19972,1.0057
3716030,20116,1.0129
3720031,22005,1.1081
3724030,23029,1.1596
3728031,22485,1.1322
3732029,21093,1.0621
3736035,21189,1.0670
3740035,22773,1.1467
3744034,23461,1.1814
3748036,22565,1.1363
3752035,21637,1.0895
3756031,22773,1.1467
3760031,24854,1.2515
3764035,26534,1.3361
3768035,26438,1.3313
3772032,26166,1.3176
3776030,26822,1.3506
3780032,29127,1.4667
3784036,30727,1.5473
3788033,29783,1.4997
3792031,29271,1.4739
3796033,30039,1.5126
3800037,31959,1.6093
3804029,32952,1.6593
3808033,32263,1.6246
3812033,31447,1.5835
3816035,31639,1.5932
3820032,33256,1.6746
3824035,33768,1.7004
3828035,32583,1.6407
3832036,31383,1.5803
3836034,31815,1.6020
3840031,33112,1.6673
3844031,33720,1.6980
3848037,32776,1.6504
3852034,31719,1.5972
3856033,31799,1.6012
3860037,33288,1.6762
3864035,33688,1.6964
3868033,32567,1.6399
3872038,31543,1.5883
3876038,32135,1.6182
3880031,33400,1.6818
3884034,34184,1.7213
3888029,32952,1.6593
3892028,31383,1.5803
3896035,31623,1.5924
3900031,33288,1.6762
3904036,34056,1.7149
3908030,32840,1.6537
3912031,31607,1.5916
3916030,32071,1.6149
3920033,33400,1.6818
3924030,34088,1.7165
3928036,32968,1.6601
3932036,31639,1.5932
3936037,32055,1.6141
3940036,33768,1.7004
3944036,34168,1.7205
3948031,32984,1.6609
3952029,31687,1.5956
3956036,31943,1.6085
3960036,33512,1.6875
3964034,34152,1.7197
3968032,33128,1.6682
3972031,32039,1.6133
3976033,32583,1.6407
3980037,33992,1.7117
3984033,34696,1.7471
3988033,33496,1.6867
3992034,32519,1.6375
3996033,32583,1.6407
4000036,34104,1.7173
4004032,34584,1.7415
4008032,33464,1.6851
4012034,32343,1.6286
4016030,32679,1.6455
4020032,34152,1.7197
4024034,35016,1.7632
4028033,33720,1.6980
4032032,32215,1.6222
4036031,32471,1.6351
4040035,34040,1.7141
4044035,34600,1.7423
4048034,33592,1.6915
4052030,32215,1.6222
4056035,32743,1.6488
4060030,34120,1.7181
4064032,34792,1.7519
4068032,33720,1.6980
4072030,32503,1.6367
4076037,32808,1.6520
4080032,34392,1.7318
4084030,34680,1.7463
4088032,33624,1.6931
4092034,32487,1.6359
4096037,33000,1.6617
4100036,34424,1.7334
4104031,35048,1.7648
4108036,33848,1.7044
4112034,32503,1.6367
4116032,32679,1.6455
4120035,34504,1.7374
4124036,34968,1.7608
4128033,33720,1.6980
4132030,32952,1.6593
4136034,33352,1.6794
4140037,35016,1.7632
4144033,35464,1.7858
4148035,34200,1.7221
4152034,32920,1.6577
4156036,33304,1.6770
4160032,34744,1.7495
4164036,35064,1.7656
4168036,34424,1.7334
4172035,33176,1.6706
4176034,33192,1.6714
4180032,34664,1.7455
4184035,35176,1.7713
4188032,34008,1.7125
4192029,33064,1.6649
4196034,32936,1.6585
4200030,34472,1.7358
4204030,34984,1.7616
4208031,33816,1.7028
4212033,33064,1.6649
4216035,33192,1.6714
4220032,34968,1.7608
4224031,35144,1.7697
4228032,33960,1.7100
4232030,32968,1.6601
4236029,33160,1.6698
4240032,34536,1.7391
4244031,35432,1.7842
4248036,34200,1.7221
4252037,33128,1.6682
4256031,33128,1.6682
4260035,34696,1.7471
4264034,35480,1.7866
4268031,34216,1.7229
4272036,32743,1.6488
4276035,33064,1.6649
4280035,34456,1.7350
4284033,34952,1.7600
4288037,33928,1.7084
4292033,32952,1.6593
4296034,33464,1.6851
4300035,34664,1.7455
4304034,35080,1.7664
4308030,34136,1.7189
4312034,33032,1.6633
4316036,33032,1.6633
4320033,34392,1.7318
4324030,34888,1.7568
4328036,33704,1.6972
4332033,32535,1.6383
4336034,33064,1.6649
4340031,34568,1.7407
4344032,35464,1.7858
4348036,33896,1.7068
4352033,32567,1.6399
4356034,32872,1.6553
4360033,34472,1.7358
4364034,35176,1.7713
4368030,33992,1.7117
4372037,33080,1.6657
4376036,32904,1.6569
4380030,34472,1.7358
4384033,34824,1.7536
4388036,33544,1.6891
4392034,32375,1.6302
4396036,32872,1.6553
4400032,34312,1.7278
4404032,34648,1.7447
4408037,33656,1.6947
4412031,32407,1.6318
4416033,32535,1.6383
4420035,34216,1.7229
4424031,34664,1.7455
4428035,33640,1.6939
4432030,32551,1.6391
4436031,32920,1.6577
4440033,34232,1.7237
4444035,34664,1.7455
4448031,33560,1.6899
4452036,32503,1.6367
4456035,32551,1.6391
4460036,34056,1.7149
4464035,34408,1.7326
4468034,33176,1.6706
4472036,31847,1.6036
4476032,32263,1.6246
4480031,33848,1.7044
4484034,34280,1.7262
4488034,33000,1.6617
4492030,31799,1.6012
4496030,32151,1.6190
4500030,33944,1.7092
4504030,34136,1.7189
4508032,33320,1.6778
4512034,31863,1.6045
4516037,32183,1.6206
4520031,33784,1.7012
4524034,34232,1.7237
